endTime,artistName,trackName,msPlayed,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2022-08-31 08:16,Yellowcard,Way Away,202093,2VwT2iRU6v9MPrXIs8tn9O,0.357,0.959,2.0,-4.081,0.0,0.113,6.93e-06,3.91e-05,0.0825,0.364,179.644,4.0
2022-08-31 08:22,FAIRCHILD,Lost in Time,380947,0xj7y1xR9gTT8YwwsNNMpm,0.734,0.641,1.0,-9.413,1.0,0.069,0.000773,0.94,0.079,0.0697,120.008,3.0
2022-08-31 08:28,Massimiliano Pagliara,Avenue of the Palms - Sunset Mix,354737,58E5RP45zDuYXkaZsuqnSE,0.72,0.615,8.0,-7.721,1.0,0.0403,0.0228,0.395,0.159,0.229,124.0,4.0
2022-08-31 08:30,Johnny Klimek,LA LA,68560,3YApMzEHG4pfUz9uZjo1nb,0.322,0.381,9.0,-10.354,1.0,0.0349,0.563,0.0,0.0829,0.33,90.967,4.0
2022-08-31 08:32,Harry Styles,As It Was,163730,3XUbOnOfglIEcXua18UNwh,0.412,0.421,9.0,-11.748,1.0,0.0349,0.875,0.849,0.265,0.772,174.049,4.0
2022-08-31 08:35,Harry Styles,Watermelon Sugar,174000,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,4.0
2022-08-31 08:39,Harry Styles,Golden,208906,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4.0,-5.257,0.0,0.0557,0.21,0.000131,0.131,0.254,139.863,4.0
2022-08-31 08:40,Patrik Jean,Prosecco,49900,4acfgyVsfx2vVI7LysrBq6,0.805,0.637,8.0,-5.697,1.0,0.0426,0.148,1.52e-05,0.126,0.858,104.978,4.0
2022-08-31 09:04,Röyksopp,Speed King,592972,3AHzNfksnT7en2Ir8sIUc9,0.547,0.836,11.0,-6.979,0.0,0.0385,0.0114,0.862,0.355,0.277,109.996,4.0
2022-08-31 09:11,Mehmet Akar,Roll the Dice - (Matias Chilano Remix) [Mixed],400640,76Tj11K4DP9vH2nGx1bKXC,0.536,0.638,7.0,-14.592,1.0,0.0329,0.00015,0.853,0.695,0.0984,126.995,4.0
